player_id,x,y,cluster,name,position,archetype
26064.0,-0.14529346,11.583963,1,Antonio Tomás González,Right Midfield,Generalist
26071.0,-0.3779097,11.843043,1,Víctor Javier Añino Bermúdez,Center Defensive Midfield,Generalist
26066.0,3.174563,4.524633,5,Juan José Expósito Ruíz,Center Forward,Wide progressive
26144.0,0.9242415,6.1024914,2,Francisco Javier Casquero Paredes,Center Defensive Midfield,Box-to-box engine
26143.0,0.07133327,-1.7689757,4,Hoalid Regragui,Left Back,Creative playmaker
25918.0,-2.1839006,4.181684,7,Delio Cesar Toledo,Left Back,Aggressive stopper
25909.0,0.542695,4.910187,6,Albert Celades López,Right Center Midfield,Defensive anchor
25919.0,-2.9646087,0.6251828,10,Gabriel Alejandro Milito,Left Center Back,Aerial commander
25917.0,13.882762,5.9131036,0,César Sánchez Domínguez,Goalkeeper,Shot-stopper
25922.0,-2.2271338,4.08075,7,Leonardo Daniel Ponzio,Right Back,Aggressive stopper
25913.0,-2.858346,2.7101917,8,Álvaro Luiz Maior de Aquino,Right Center Back,Stopper CB
24520.0,1.5103409,5.032278,6,Alberto Zapater Arjol,Left Center Midfield,Defensive anchor
19294.0,2.7608206,-0.78867626,4,Diego Alberto Milito,Center Forward,Creative playmaker
25916.0,2.2603972,-1.5051706,4,Ewerthon Henrique de Souza,Right Center Forward,Creative playmaker
25911.0,1.8513298,1.2363113,5,Óscar Javier González Marcos,Right Midfield,Wide progressive
25915.0,3.1169004,0.3435908,4,Sávio Bortolini Pimentel,Left Wing,Creative playmaker
25920.0,-0.1601081,-0.0942863,5,Jose María Movilla Cubero,Right Center Midfield,Wide progressive
26123.0,1.4675181,6.6723504,2,Peter Luccin,Left Defensive Midfield,Box-to-box engine
26121.0,-0.83483505,3.5868034,-1,Ariel Miguel Santiago Ibagaza,Left Midfield,Uncategorised
26119.0,13.740724,6.515932,0,Leonardo Neoren Franco,Goalkeeper,Shot-stopper
26118.0,-2.4799097,3.639444,8,Antonio López Guerrero,Left Back,Stopper CB
26120.0,-0.567268,10.500745,1,Luis Amaranto Perea Mosquera,Right Center Back,Generalist
26122.0,1.1604062,4.7111835,6,Luciano Martín Galletti,Right Midfield,Defensive anchor
26117.0,-3.9920478,3.7006314,8,Pablo Ibáñez Tébar,Left Center Back,Stopper CB
19888.0,2.8084552,0.4170111,4,Martin Petrov,Left Midfield,Creative playmaker
25949.0,0.45205525,-3.2985635,3,Santiago Ezquerro Marín,Left Wing,Possession system elite
25998.0,-1.1923691,2.3095727,6,Francisco Javier Farinós Zapata,Left Defensive Midfield,Defensive anchor
25996.0,0.4457614,2.0482068,-1,Cristiano Doni,Right Defensive Midfield,Uncategorised
25994.0,-2.6385088,4.3426,7,David Cortés Caballero,Right Back,Aggressive stopper
25992.0,-3.9345875,3.4920359,8,José Carlos de Araújo Nunes,Left Center Back,Stopper CB
25995.0,0.11443613,-1.1132619,4,Juan Fernando Arango Sáenz,Left Wing,Creative playmaker
25993.0,0.78844583,-3.1600451,3,Yoshito Ōkubo,Center Attacking Midfield,Possession system elite
25991.0,-3.061579,1.5239356,10,Eduardo Nicolás Tuzzio,Right Center Back,Aerial commander
25956.0,-2.3969698,4.0025835,7,David Castedo Escudero,Left Back,Aggressive stopper
25950.0,-3.3667507,3.187228,8,Aitor Ocio Carrión,Right Center Back,Stopper CB
25948.0,-0.24895827,10.510028,1,Jose Luis Martí Soler,Right Back,Generalist
6821.0,-0.248073,-3.1880698,3,Jesús Navas González,Right Back,Possession system elite
25952.0,-1.9620314,-1.3778855,3,Ivica Dragutinovic,Left Center Back,Possession system elite
25960.0,2.698519,-0.94349384,4,Frédéric Oumar Kanouté,Left Center Forward,Creative playmaker
25946.0,14.343875,4.7242136,0,Andrés Palop Cervera,Goalkeeper,Shot-stopper
25954.0,1.5935667,6.8638935,2,Enzo Maresca,Left Defensive Midfield,Box-to-box engine
25962.0,2.6524765,3.8526921,5,Javier Pedro Saviola Fernández,Right Center Forward,Wide progressive
25958.0,1.3824487,7.000804,2,Jordi López Felpeto,Right Defensive Midfield,Box-to-box engine
25932.0,0.2025171,10.807362,1,Pablo Gabriel García Pérez,Right Defensive Midfield,Generalist
15584.0,-3.1378767,4.359096,7,Iván Helguera Bujía,Left Center Back,Aggressive stopper
15661.0,0.8204562,3.3026955,6,David Beckham,Left Defensive Midfield,Defensive anchor
15601.0,0.58439565,6.020898,2,Miguel Ángel Salgado Fernández,Right Back,Box-to-box engine
15074.0,1.3156015,6.327876,2,Zinédine Zidane,Center Attacking Midfield,Box-to-box engine
25926.0,-0.19521184,4.141776,6,Roberto Carlos da Silva,Left Back,Defensive anchor
25928.0,2.8710737,0.6121572,4,Ronaldo Luíz Nazário de Lima,Center Forward,Creative playmaker
25930.0,3.024284,3.1812277,5,Róbson de Souza,Left Wing,Wide progressive
