matrix_row,player_id,label,archetype,name,position,x,y
268,6861,10,Aerial commander,Juan Torres Ruiz,Left Center Back,-2.804458,1.9876795
269,8817,4,Creative playmaker,Jhon Andrés Córdoba Copete,Left Center Forward,2.3628747,-0.6968237
270,6680,5,Wide progressive,Rubén Rochina Naixes,Center Attacking Midfield,1.1783999,1.3096457
271,23488,1,Generalist,Mario Suárez Mata,Left Defensive Midfield,-0.72578907,11.917821
272,6378,0,Shot-stopper,Jan Oblak,Goalkeeper,13.904306,5.873808
273,6381,2,Box-to-box engine,Saúl Ñíguez Esclapez,Left Center Midfield,0.9375096,6.185951
274,3324,10,Aerial commander,Eric Bertrand Bailly,Right Center Back,-2.8546634,1.230559
275,4741,6,Defensive anchor,Juan Rafael Fuentes Hernández,Left Back,-1.305382,2.3971949
276,5200,5,Wide progressive,Lucas Vázquez Iglesias,Right Wing,2.2105203,1.2981287
277,6706,0,Shot-stopper,Francisco Casilla Cortés,Goalkeeper,14.6107235,4.300235
278,6709,9,Attacking fullback,Anaitz Arbilla Zabala,Right Back,-1.010643,0.57053053
279,24072,5,Wide progressive,Salvador Sevilla López,Center Attacking Midfield,1.0957164,0.3904754
280,6758,2,Box-to-box engine,Víctor Sánchez Mata,Right Defensive Midfield,1.1491625,7.021781
281,6767,5,Wide progressive,Sergio García De La Fuente,Center Forward,2.8699188,3.108402
282,18407,6,Defensive anchor,José Alberto Cañas Ruiz Herrera,Left Defensive Midfield,0.44147906,3.5816977
283,7781,2,Box-to-box engine,Felipe Salvador Caicedo Corozo,Center Forward,2.5335824,5.7032676
284,6762,10,Aerial commander,Álvaro González Soberón,Right Center Back,-3.0472414,0.85032046
285,5573,3,Possession system elite,Héctor Alfredo Moreno Herrera,Left Center Back,-1.1830333,-1.9288838
286,27148,6,Defensive anchor,Abraham González Casanova,Left Center Midfield,0.842926,3.4113314
287,6351,1,Generalist,Cristhian Ricardo Stuani Curbelo,Left Center Forward,0.14586203,11.763366
288,6738,5,Wide progressive,Juan Francisco Moreno Fuertes,Right Back,-0.40008473,-0.36478972
289,26776,5,Wide progressive,Juan Isaac Cuenca López,Left Midfield,2.6443377,2.610914
290,6734,5,Wide progressive,Luis Carlos Correia Pinto,Left Back,1.3380871,2.390032
291,3090,8,Stopper CB,Nicolás Hernán Otamendi,Left Center Back,-2.6407292,3.6060147
292,25144,0,Shot-stopper,Diego Alves Carreira,Goalkeeper,14.318261,4.7779646
293,6595,6,Defensive anchor,Daniel Parejo Muñoz,Right Center Midfield,0.42535174,3.9105911
294,3638,10,Aerial commander,Shkodran Mustafi,Right Center Back,-2.410716,0.9778652
295,6402,1,Generalist,Francisco Alcácer García,Center Forward,1.668251,8.192697
296,10802,5,Wide progressive,André Filipe Tavares Gomes,Left Center Midfield,1.9231118,1.3204349
297,5718,5,Wide progressive,Rodrigo Moreno Machado,Right Wing,3.013633,2.630875
298,6751,6,Defensive anchor,Javier Fuego Martínez,Center Defensive Midfield,0.65020746,4.873522
299,18724,5,Wide progressive,Sofiane Feghouli,Right Wing,1.0153615,-0.16211578
300,27480,6,Defensive anchor,Lucas Alfonso Orbán Alegre,Left Back,-0.23378222,3.288872
301,6663,9,Attacking fullback,Antonio Barragán Fernández,Right Back,-1.1926925,1.1105983
302,6596,9,Attacking fullback,José Luis Gayà Peña,Left Back,-0.7063293,0.24659753
303,7005,5,Wide progressive,João Pedro Cavaco Cancelo,Right Back,0.17722405,-0.15062056
304,20542,5,Wide progressive,Álvaro Negredo Sánchez,Center Forward,3.195293,2.6567216
305,7797,5,Wide progressive,Rodrigo Javier De Paul,Left Wing,2.046024,2.6091719
306,6567,5,Wide progressive,Borja García Freire,Left Wing,2.2073374,3.1790702
307,27250,2,Box-to-box engine,Nabil Ghilas,Right Center Forward,2.5111613,5.838923
308,24617,1,Generalist,Eduard Campabadal Claros,Right Back,-0.16154487,10.412996
309,6728,5,Wide progressive,Federico Nicolás Cartabia,Right Wing,3.1540308,2.8034902
310,27249,1,Generalist,Fausto Rossi,Left Defensive Midfield,0.8853237,9.472814
311,6612,-1,Uncategorised,Rubén Duarte Sánchez,Left Back,-0.880674,3.5511522
312,27241,6,Defensive anchor,Víctor Guillermo Álvarez Delgado,Left Wing,0.16576017,3.8143034
313,24578,2,Box-to-box engine,Francisco Montañés Claverías,Right Midfield,2.098112,5.669985
314,6733,6,Defensive anchor,Pedro Mosquera Parada,Left Defensive Midfield,0.31869552,4.275744
315,27464,1,Generalist,José Ángel Alonso Martín,Center Defensive Midfield,0.26190794,11.285884
316,16001,1,Generalist,Garry Mendes Rodrigues,Left Midfield,1.02601,10.066016
317,24053,1,Generalist,Álvaro Giménez Candela,Center Defensive Midfield,0.8726284,10.33575
318,27461,7,Aggressive stopper,Francisco Manuel Vélez Jiménez,Left Center Back,-3.348441,4.209357
319,6730,0,Shot-stopper,Rubén Iván Martínez Andrade,Goalkeeper,13.96316,5.764571
320,27246,1,Generalist,Sebastián Dubarbier,Left Back,-0.4349591,10.436561
321,24127,1,Generalist,Ramon Olamilekan Azeez,Center Attacking Midfield,0.03383647,11.692534
322,24149,6,Defensive anchor,José Antonio García Rabasco,Right Defensive Midfield,-0.09328445,2.3876681
323,23843,0,Shot-stopper,Diego Mariño Villar,Goalkeeper,15.353791,2.776156
324,27122,6,Defensive anchor,Simão Mate,Center Defensive Midfield,-1.3125862,2.885437
325,6778,10,Aerial commander,Iván Ramis Barrios,Left Center Back,-3.147579,0.95760137
326,27123,2,Box-to-box engine,Jordi Xumetra Feliu,Right Midfield,1.9825296,5.287013
327,26012,10,Aerial commander,David Navarro Pedrós,Right Center Back,-3.1737897,0.9382046
328,6867,6,Defensive anchor,Papa Kouly Diop,Right Defensive Midfield,-0.126762,4.210595
329,26248,2,Box-to-box engine,David Barral Torres,Center Forward,2.0296865,6.720939
330,6784,5,Wide progressive,Antonio García Aranda,Left Back,-0.41428107,-0.30344605
331,6668,5,Wide progressive,José Luis Morales Nogales,Left Midfield,2.3416045,2.4604607
332,8801,6,Defensive anchor,Iván López Mendoza,Right Back,-1.1443301,2.0352712
333,26495,5,Wide progressive,Kalu Uche,Left Center Forward,1.8814735,1.6356477
334,23791,4,Creative playmaker,Víctor Casadesús Castaño,Left Center Forward,1.9002556,-0.7818272
335,23970,6,Defensive anchor,José María Martín-Bejarano Serrano,Center Defensive Midfield,0.15706877,2.8430846
336,6691,4,Creative playmaker,David Remeseiro Salgueiro,Left Midfield,2.9219444,0.9801322
337,6389,6,Defensive anchor,Mikel San José Domínguez,Right Defensive Midfield,0.000744288,3.8295274
338,6788,10,Aerial commander,Xabier Etxeita Gorritxategi,Right Center Back,-2.271204,0.7636483
339,6886,1,Generalist,Dídac Vilá Rosselló,Left Back,0.07537506,10.457251
340,6693,7,Aggressive stopper,Raúl Rodríguez Navas,Center Back,-2.685519,4.5907946
341,11294,1,Generalist,Borja Fernández Fernández,Center Defensive Midfield,-0.34704477,11.793003
342,24507,1,Generalist,Manuel del Moral Fernández,Left Center Forward,0.25262964,11.302773
343,27517,0,Shot-stopper,Jaime Jiménez Merlo,Goalkeeper,14.4350815,4.5728707
344,6890,3,Possession system elite,Andreu Fontàs Prat,Left Center Back,-1.2098113,-2.069737
345,19668,5,Wide progressive,Augusto Matías Fernández,Center Defensive Midfield,1.7182091,2.5745726
346,6594,2,Box-to-box engine,Santiago Mina Lorenzo,Right Wing,2.4492986,5.640424
347,6787,6,Defensive anchor,Pedro López Muñoz,Right Back,-0.5197123,2.305161
348,24860,10,Aerial commander,Héctor Rodas Ramírez,Right Center Back,-3.2940302,1.4072357
349,27240,0,Shot-stopper,Jesús Fernández Collado,Goalkeeper,13.762385,6.1636167
350,6659,5,Wide progressive,Víctor Camarasa Ferrando,Left Center Midfield,1.8506812,1.8085502
351,23943,5,Wide progressive,Rubén García Santos,Left Midfield,2.4845753,3.9589105
352,23382,5,Wide progressive,Mohamed Lamine Sissoko Gillan,Right Center Midfield,3.1642401,1.8796386
353,27483,3,Possession system elite,Benoît Trémoulinas,Left Back,-1.1664469,-2.0899
354,3497,6,Defensive anchor,Vicente Iborra De La Fuente,Center Attacking Midfield,0.4206369,4.765333
355,6823,0,Shot-stopper,Sergio Rico González,Goalkeeper,15.476704,2.564098
356,23816,6,Defensive anchor,José Antonio Reyes Calderón,Right Wing,0.35117796,3.9347956
357,6647,10,Aerial commander,Zouhair Feddal,Left Center Back,-3.1270847,1.0646045
358,6712,2,Box-to-box engine,Gonzalo Escalante,Right Defensive Midfield,1.0580806,6.850997
359,6566,1,Generalist,Borja González Tomás,Center Forward,1.3070983,9.042775
360,6837,8,Stopper CB,Mauro Javier Dos Santos,Right Center Back,-2.8096685,2.9876633
361,10763,0,Shot-stopper,Asier Riesgo Unamuno,Goalkeeper,14.16802,5.0024495
362,6776,9,Attacking fullback,David Juncà Reñé,Left Back,-1.2793549,1.3149678
363,26023,10,Aerial commander,Juan Francisco García García,Left Back,-2.1103804,0.6607996
364,6742,2,Box-to-box engine,Sergio Gontán Gallardo,Right Midfield,1.6526706,5.942481
365,5678,6,Defensive anchor,Jefferson Andrés Lerma Solís,Right Center Midfield,0.06604059,3.4730802
366,5687,5,Wide progressive,Takashi Inui,Left Wing,2.5253658,3.5277445
367,6700,1,Generalist,Sergio Enrich Ametller,Center Forward,1.2690892,8.927082
